"fy_ef","organization_id","organization","core_responsibility","program_id","program_name","planned_spending_1","actual_spending","planned_spending_2","planned_spending_3","planned_ftes_1","actual_ftes","planned_ftes_2","planned_ftes_3","planning_explanation","variance_explanation"
"2022-2023",129,"Department of Crown-Indigenous Relations and Northern Affairs","Northern Affairs","BWR09","Canadian High Arctic Research Station",12275.00,4151617.71,12275.00,12275.00,3.42,2.00,3.42,3.42,,"Spending:
-	Internal relocation of resources to offset pressures (+$3.8 million)
-	Internal realignment of +$0.4 million between programs"
"2022-2023",129,"Department of Crown-Indigenous Relations and Northern Affairs","Northern Affairs","BWR10","Nutrition North",121744639.00,209501099.74,127261746.00,133054708.00,20.03,16.00,20.03,20.03,"Explanation of spending: • Increase in funding from 2022–23 to 2023–24 is related to the expansion of the Nutrition North Canada program to support all northern isolated communities.","Spending:
-	Funding for northern food security: Seeding Local Food Systems in the North (+$86.9 million)
-	Funding for continuing local food security efforts in northern isolated communities (+$20 million)
-	Reprofile of funding for northern food security: Seeding Local Food Systems in the North (-$17.5 million)
-	Reprofile of funding for continuing local food security efforts in northern isolated communities (-$1 million)"
"2022-2023",129,"Department of Crown-Indigenous Relations and Northern Affairs","Northern Affairs","BWR11","Northern and Arctic Governance and Partnerships",98286246.00,168912561.65,97775043.00,94508009.00,56.72,57.00,56.72,56.72,,"Spending:
-	Funding for closing the northern housing and infrastructure gap (+$75 million)
-	Internal realignment of -$4.1 million between programs"
"2022-2023",129,"Department of Crown-Indigenous Relations and Northern Affairs","Internal Services","ISS01","Management and Oversight Services",38708745.00,58952278.73,37748767.00,36887725.00,267.60,288.00,265.94,263.30,,"Spending:
-	Operating Budget Carry Forward (OBCF) (+$15.5 million)
-	Funding for internal services stabilization (+$5 million)"
"2022-2023",129,"Department of Crown-Indigenous Relations and Northern Affairs","Internal Services","ISS02","Communications Services",5732665.00,7635976.91,5721263.00,5721263.00,11.14,11.00,11.07,10.96,,"Spending:
-	Funding to implement the Federal framework to address the legacy of residential schools (+$326,000)
-	Internal realignment of $1.5 million between programs"
"2022-2023",129,"Department of Crown-Indigenous Relations and Northern Affairs","Internal Services","ISS03","Legal Services",41257320.00,69886214.37,41257320.00,41257320.00,79.40,70.00,78.91,78.12,,"Spending:
-	Funding for internal services stabilization (+$7.4 million)
-	Internal realignment of $21 million between programs"
"2022-2023",129,"Department of Crown-Indigenous Relations and Northern Affairs","Internal Services","ISS04","Human Resources Management Services",12550880.00,14650458.79,12505765.00,12497686.00,366.67,388.00,364.40,360.77,,"Spending:
-	Internal realignment of $1.5 million between programs"
"2022-2023",129,"Department of Crown-Indigenous Relations and Northern Affairs","Internal Services","ISS05","Financial Management Services",14650539.00,16573076.43,14571603.00,14579683.00,60.57,62.00,60.20,59.60,,"Spending:
-	Internal realignment of $1.7 million between programs"
"2022-2023",129,"Department of Crown-Indigenous Relations and Northern Affairs","Internal Services","ISS06","Information Management Services",7026734.00,6682104.63,6986706.00,6986706.00,5.05,3.00,5.02,4.97,,"Spending:
-	Internal realignment of -$367,000 between programs"
"2022-2023",129,"Department of Crown-Indigenous Relations and Northern Affairs","Internal Services","ISS07","Information Technology Services",424556.00,1019289.38,423774.00,423774.00,3.01,4.00,2.99,2.96,,"Spending:
-	Funding for internal services stabilization (+$7.3 million)
-	Internal realignment of -$7.2 million between programs
-	Net lapse of $473,000"
"2022-2023",129,"Department of Crown-Indigenous Relations and Northern Affairs","Internal Services","ISS08","Real Property Management Services",951336.00,3723347.82,951336.00,951336.00,0.00,0.00,0.00,0.00,,"Spending:
-	Internal realignment of $3 million between programs"
"2022-2023",129,"Department of Crown-Indigenous Relations and Northern Affairs","Internal Services","ISS09","Materiel Management Services",2846686.00,5167485.91,2845173.00,2845173.00,14.56,16.00,14.47,14.33,,"Spending:
-	Internal realignment of $1.5 million between programs
-	Net lapse of $788,000"
"2022-2023",129,"Department of Crown-Indigenous Relations and Northern Affairs","Internal Services","ISS0Z","Acquisition Management Services",103884.00,,103883.00,103883.00,0.00,0.00,0.00,0.00,,"Spending:
-	Internal realignment of -$104,000 between programs"
"2022-2023",130,"Department of Industry","People, Skills and Communities","BNN02","Support for Underrepresented Entrepreneurs",236060752.00,141476602.58,163553388.00,137283471.00,44.00,48.00,41.00,38.00,"Variance is related to new funding received for the Support for Women Entrepreneurs program, the Canada Digital Adoption Program-Grow Your Business Online and the Small Business and Entrepreneurship Development Program as per Budget 2021. New funding was also received for the Black Entrepreneurship Program: Loan Fund and the Diverse and Inclusive Economy Program as per the Fall Economic Statement 2020.","Variance primarily represents unused funding in the Canada Digital Adoption Program: Stream 1 program as a result of recipients' application and hiring processes.  Also reflected is unused funding in the Small Business and Entrepreneurship Development Program and the Women's Entrepreneurship Strategy as a result of extensive proposal assessments and contribution agreement negotiations with applicants.  Unused funding in all programs will be moved to future years."
"2022-2023",130,"Department of Industry","People, Skills and Communities","BNN03","Bridging Digital Divides",1151016295.00,337533474.50,808823815.00,468641416.00,148.00,146.00,118.00,94.00,"Variance is primarily related to new funding received for the Universal Broadband Fund and the Low Earth Orbit Satellite Capacity Fund. The increase in 2021-22 is offset by the winding down of several contribution programs, namely: Affordable Access Initiative, Accessible Technology Development program and the Digital Literacy Exchange Program, as well as the Connect to Innovate program for which funding ends in 2022-23.","Variance primarily reflects unused funding in the Universal Broadband Fund due in part to the time required to assess proposals and negotiate contribution agreement with recipients for projects in 2022-23. In addition, many UBF applicants that have conditionally approved projects needed additional time to finalize their plans and events related to sensitive and complex project locations serving Indigenous communities.  Funding will be moved to future years to better align with anticipated projects cash flow requirements in order to meet connectivity objectives of 98% by 2026.  Also reflected is unused funding in the Connect to Innovate program and the Telesat Low Earth Orbit Satellite Capacity program. Unused funding in these two programs has been identified to be moved to future years to respect existing agreements and better align with anticipated cash flow requirements."
"2022-2023",130,"Department of Industry","Science, Technology, Research and Commercialization","BNO01","Science and Research",1116127508.00,721499560.18,980646670.00,824411919.00,104.00,106.00,104.00,95.00,"Variance is related to new funding received through Budget 2021, mainly under the Pan-Canadian Artificial Intelligence Strategy for the Canadian Institute for Advanced Research, the National Artificial Intelligence Institutes and for dedicated computing capacity in Artificial Intelligence. Budget 2021 also announced new funding under the Biomanufacturing and Life Sciences Strategy for Canada Foundation for Innovation, Stem Cell Network and adMare BioInnovations. 

These increases are offset by the winding down of funding under several programs such as the Digital Research Infrastructure Strategy, Post-Secondary Institutions Strategic Investment Fund,  CANARIE Inc, the Perimeter Institute for Theoretical Physics and the Institute for Quantum Computing.","Variance primarily represents unused funding by the Digital Research Alliance recipient under the Digital Research Infrastructure Strategy.  The recipient required additional time to develop critical governance documents required to support the implementation of major projects.  Also reflected is unused funding under the Canada Foundation for Innovation from successive federal budgets, for which associated funding required a realignment with CFI's anticipated cashflow requirements.  Unused funding in both programs has been moved to future years."
"2022-2023",130,"Department of Industry","Companies, Investment and Growth","BNP01","Business Innovation",2150023369.00,1429315904.59,2039196888.00,1765511304.00,702.00,759.00,685.00,681.00,"Variance is related to funding received through Budget 2021 under the Pan-Canadian Artificial Intelligence Strategy as well as the National Quantum Strategy for the Innovation Superclusters Initiative and Innovative Solutions Canada.  Budget 2021 also announced new funding for the new Net Zero Accelerator initiative to support Canada’s Strengthened Climate Plan's third pillar, Building Canada's Clean Industrial Advantage. The Fall Economic Statement 2020 announced funding over five years, starting in 2021-22, to support innovative, intellectual property-rich firms in facing the challenges presented by COVID-19, as well as foreign take-overs and potentially mitigate the loss of Canadian jobs. Also stemming from the Fall Economic Statement 2020 is new funding over seven years, starting in 2021-22, to support Sanofi Pasteur Ltd.'s vaccine manufacturing facility. The funding profiles for the Strategic Innovation Fund, the Innovative Superclusters Initiative and the Cyber Security Innovation Network have been adjusted to meet actual requirements and timelines of the program by moving funding, from 2021-22 to future years.","Variance primarily represents unused funding in the Strategic Innovation Fund and the Innovation Superclusters Initiative as a result of the lingering effects of the pandemic.  Funding will be moved to future years to allow recipients to complete contracted projects, and to align the funding profile with the cashflow requirements of these programs.  Also reflected is unused funding under the Canada Digital Adoption Program: Stream 2 as a result of slower than anticipated program uptake.  Unused funding will be moved to future years to better align the program funding profile with anticipated demand."
"2022-2023",130,"Department of Industry","Companies, Investment and Growth","BNP02","Support  for Small Business",140913371.00,68485346.89,119228974.00,92195951.00,54.00,52.00,54.00,54.00,"Variance primarily reflects anticipated future claim payments under the Canada Small Business Financing Program. These adjustments are made annually to reflect updated claim forecasts incorporating changes in the use of the program by lenders as well as ongoing changes in loan loss experiences.","Variance between the planned and actual spending under the CSBFA is primarily the result of an overestimation of claim payments on defaulted loans.  With the economic downturn associated with the COVID-19 pandemic, claims for loss submissions resulting from defaulted loans were expected to increase significantly.  The claim for loss submissions, however, did not materialize to the extent predicted resulting in lower than expected claim payment expenses for 2022-23."
"2022-2023",130,"Department of Industry","Companies, Investment and Growth","BNP04","Economic Outcomes from Procurement",12119559.00,8919792.87,12031463.00,12031463.00,52.00,48.00,52.00,52.00,"Variance between 2021-22 and future years is related to funding received from the Department of National Defence for the Defence Procurement Strategy.","The variance represents funding that was allocated to priorities in other activities."
"2022-2023",130,"Department of Industry","Companies, Investment and Growth","BNP05","Digital Service",10934656.00,9845151.70,10934656.00,10931849.00,60.00,56.00,60.00,60.00,"Variance between 2021-22 and future years is related to existing funding allocated for the implementation of the Digital Credentials, Identity and Business Information Sharing in fiscal year 2021-22 only.","N/A - variance is less than 10%"
"2022-2023",130,"Department of Industry","Companies, Investment and Growth","BNP06","Spectrum and Telecommunications",174965221.00,125372837.83,144268066.00,119549770.00,741.00,792.00,726.00,716.00,"Variance between 2021-22 and future years is related to the New Generation of Wireless Technology (5G). The funding profile has been adjusted to meet actual requirements and timelines of the program.","Variance represents unused funding as a result of continued pandemic-related procurement delays related to the New Generation Wireless Technology - 5G initiative.  Funding has been moved to future years."
"2022-2023",130,"Department of Industry","Companies, Investment and Growth","BNP07","Clean Technology and Clean Growth",179156899.00,153493843.34,185451848.00,196122997.00,39.00,33.00,37.00,27.00,"Variance is related to new funding received for the Recapitalization of the Sustainable Development Technology Fund. The funding profile has been adjusted, to meet actual requirements and timelines of the program, by moving funding from 2021-22 to future years.","Variance primarily reflects unused funding in the Sustainable Development Technology Fund as a result of lingering effects of the pandemic.  It has been moved to future years to reflect their financial forecasting model which was revised following a recent review of historical data and updated assumptions."
"2022-2023",130,"Department of Industry","Companies, Investment and Growth","BNP11","Intellectual Property",44384560.00,18877909.17,26129217.00,28779891.00,1050.00,1085.00,1050.00,1050.00,"Variance is related to the fluctuations in the estimated amount drawn down from Canadian Intellectual Property Office (CIPO) accumulated Surplus.","Variance reflects the lower than anticipated drawdown on CIPO's revolving fund as they generated more revenue in 2022-23 than planned."
"2022-2023",130,"Department of Industry","Companies, Investment and Growth","BNP12","Competition Law Enforcement and Promotion",52323006.00,55445713.36,60328551.00,63781611.00,388.00,374.00,422.00,435.00,"Variance is related to new funding announced in Budget 2021 to enhance competition enforcement and promotion in the digital economy. Stable funding in 2024-25 and beyond will allow the Competition Bureau to exercise its mandate to pursue investigations that have grown in number and complexity over the past decade.","N/A - variance is less than 10%"
"2022-2023",130,"Department of Industry","Companies, Investment and Growth","BNP16","Tourism",11762523.00,16001506.42,2761034.00,2761034.00,26.00,29.00,26.00,26.00,"Variance is mainly related to new funding received through Budget 2021 for the Tourism Relief Fund, which ends in 2022-23.","Variance reflects additional funding accessed in-year. The unused portion will be moved to 2023-24 to allow recipients to complete and maximize project activities and benefits as part of the National Tourism Priorities Stream."
"2022-2023",130,"Department of Industry","Companies, Investment and Growth","BNP17","Talent Development",252440267.00,262058378.06,299167608.00,280411234.00,40.00,39.00,42.00,35.00,"Variance is related to funding received through Budget 2021 for CanCode 3.0, Mitacs Inc., Digital Skills for Youth, Computers for Schools Intern program and Upskilling for Industry Initiative. The funding profile for Mitacs Inc. will be adjusted to meet the actual requirements and timelines of the program, by moving funding from 2021-22 to future years.","N/A - variance is less than 10%"
"2022-2023",130,"Department of Industry","Companies, Investment and Growth","BNP18","Marketplace Protection and Promotion",69994236.00,65115009.06,71421086.00,69981369.00,888.00,862.00,889.00,892.00,"Variance is related to funding received through Budget 2021 to update measurement related codes and standards for zero emission vehicles charging and fuelling stations.","N/A - variance is less than 10%"
"2022-2023",130,"Department of Industry","Internal Services","ISS01","Management and Oversight Services",51860502.00,62599100.77,51082820.00,51013674.00,392.00,455.00,390.00,390.00,"N/A variance less than 10%.","N/A - Variance is less than 10%"
"2022-2023",130,"Department of Industry","Internal Services","ISS02","Communications Services",23122565.00,27017050.36,21846425.00,21779485.00,220.00,233.00,218.00,218.00,"N/A variance less than 10%.","Variance reflects additional funding allocated internally to support the department's increasing communications needs."
"2022-2023",130,"Department of Industry","Internal Services","ISS03","Legal Services",6268003.00,4854919.57,5845682.00,5821731.00,6.00,6.00,6.00,6.00,"Variance is related to new funding received to account for the implementation of comprehensive Employee Benefit Program rates for legal services.","Variance represents unused funding as a result of lower than expected charges from the Department of Justice and procedural delays in ongoing litigation."
"2022-2023",130,"Department of Industry","Internal Services","ISS04","Human Resources Management Services",26350165.00,32822147.29,26200052.00,26096145.00,272.00,367.00,271.00,270.00,"N/A variance less than 10%.","Variance reflects funding reallocated internally to support various HR projects (Diversity & Inclusion, Workplace Modernization, and Accessibility) as well as to provide dedicated people management services to the Strategic Innovation Fund."
"2022-2023",130,"Department of Industry","Internal Services","ISS05","Financial Management Services",28624215.00,27297814.75,25462674.00,25236952.00,242.00,236.00,234.00,233.00,"N/A variance less than 10%.","N/A - Variance is less than 10%"
"2022-2023",130,"Department of Industry","Internal Services","ISS06","Information Management Services",4298634.00,8203995.21,4298633.00,4298633.00,57.00,58.00,57.00,57.00,"N/A variance less than 10%.","The variance represents funding reallocated from other activities."
"2022-2023",130,"Department of Industry","Internal Services","ISS07","Information Technology Services",29763944.00,45838074.37,27753909.00,27636511.00,354.00,367.00,353.00,351.00,"Variance is related to investments in Workplace Modernization for Future of Work and for Workload Migration in 2020-21 and 2021-22.","Variance represents funding reallocated for various IT projects, and Application Modernization funding received for the Workload Migration project."
"2022-2023",130,"Department of Industry","Internal Services","ISS08","Real Property Management Services",6470586.00,15948342.78,6180138.00,6180960.00,62.00,70.00,61.00,61.00,"Variance is related to investments in Workplace Modernization and Accessibility for the Built Environment in 2021-22.","Variance primarily represents funding reallocated internally for various workplace accommodation activities related to the Future of Work Hybrid Pilot Project."
"2022-2023",130,"Department of Industry","Internal Services","ISS09","Materiel Management Services",1732076.00,1780381.05,1732076.00,1732076.00,22.00,20.00,22.00,22.00,"Variance is related to Departmental Results Framework Budget Realignments performed by various sectors.","N/A - Variance is less than 10%"
"2022-2023",130,"Department of Industry","Internal Services","ISS0Z","Acquisition Management Services",3802101.00,3869065.48,3747388.00,3639550.00,45.00,40.00,44.00,43.00,"Variance  is related to Departmental Results Framework Budget Realignments performed by various sectors.","N/A - Variance is less than 10%"
"2022-2023",132,"Department of Justice","Legal Services","BNX01","Litigation Services",96142280.00,81419946.62,96142280.00,96142280.00,1930.00,2021.00,1930.00,1930.00,,"The variance in planned versus actual spending is mainly attributable to an increase in legal services provided, mainly on litigation files, which led to an increase in revenues recognized that more than offset the increase in spending from a net perspective."
"2022-2023",132,"Department of Justice","Legal Services","BNX02","Legislative Services",16477667.00,17204465.71,15854028.00,13472556.00,217.00,215.00,217.00,217.00,"The variance in planned spending is explained by the sunset of temporary funding received over a five-year period (2019-20 to 2023-24) for Bringing Innovation to Regulations through the implementation of two regulatory review roadmaps for the agri-food and aquaculture sector and the health and biosciences sector.",
"2022-2023",132,"Department of Justice","Legal Services","BNX03","Advisory Services",106417783.00,106023251.41,106417783.00,106332426.00,1388.00,1440.00,1388.00,1388.00,,
"2022-2023",132,"Department of Justice","Justice System Support","BNY01","Legal Policies, Laws and Governance",51675803.00,52968977.89,48505031.00,44943309.00,276.00,304.00,276.00,276.00,,"The variance in planned versus actual FTEs is mainly related to additional resources to support policy work on Indigenous-related files as announced in Budgets 2021 and 2022 such as: the UN Declaration Act Implementation Secretariat, Reconciliation Secretariat and the Office of the Special Interlocutor. Some of the workforce related to these initiatives was not included in planned FTEs due to the timing of securing these resources and their inclusion into the Main Estimates."
"2022-2023",132,"Department of Justice","Justice System Support","BNY02","Legal Representation",196611778.00,242629881.84,166846502.00,161240899.00,10.00,8.00,10.00,10.00,"The variance in planned spending is mainly explained by temporary funding received in 2022-23 for Criminal Legal Aid to ensure that jurisdictions have the capacity to meet increased demand for criminal legal aid resulting from COVID-19, and are able to further implement technological innovations that have become a requirement throughout the pandemic.","The variance in planned versus actual spending is mainly explained by increased contribution spending resulting from additional funding received during the year to maintain federal support for immigration and refugee legal aid services, as announced in Budget 2022.

The variance in planned versus actual FTEs is explained by the retirement of two employees in 2022-23 whose positions are yet to be filled."
"2022-2023",132,"Department of Justice","Justice System Support","BNY03","Contraventions Regime",9068143.00,6458136.53,9068143.00,9568143.00,4.00,3.00,4.00,4.00,,"The variance in planned versus actual spending is explained by the fact that some provinces/territories are not yet ready to implement the Contraventions Act Regime and therefore did not incur expenditures as anticipated. The negotiations and progress depend largely on the priorities, and therefore capacity, of the provinces and territories. The funds will be completely committed once all jurisdictions have signed agreements.

The variance in planned versus actual FTEs is explained by the departure of an employee whose position is yet to be filled."
"2022-2023",132,"Department of Justice","Justice System Support","BNY04","Drug Treatment Court Funding Program",3988926.00,6951649.58,3874202.00,3874202.00,2.00,2.00,2.00,2.00,,"The variance in planned versus actual spending is explained by increased contribution spending resulting from additional funding received during the year to expand access to Drug Treatment Courts, as announced in Budget 2021."
"2022-2023",132,"Department of Justice","Justice System Support","BNY05","Victims of Crime",32417025.00,31608414.29,25138367.00,25138367.00,7.00,6.00,7.00,7.00,"The variance in planned spending is explained by the sunset of temporary funding received over a three-year period (2020-21 to 2022-23) to respond to the National Inquiry into Missing and Murdered Indigenous Women and Girls’ Final Report: Reclaiming Power and Place. More specifically, the contributions funding to support Family Information Liaison Units and community-based services.","The variance in planned versus actual FTEs is explained by the realignment of a full-time equivalent between activities to better reflect Departmental priorities."
"2022-2023",132,"Department of Justice","Justice System Support","BNY06","Youth Justice",201313755.00,202143485.37,201313755.00,201313755.00,5.00,5.00,5.00,5.00,,
"2022-2023",132,"Department of Justice","Justice System Support","BNY07","Family Justice",25947487.00,21346122.23,23622487.00,22322487.00,1.00,1.00,1.00,1.00,,"The variance in planned versus actual spending is mainly explained by lower uptake by provinces/territories of contributions funding to support supervision services for parenting time in cases of separation and divorce (funding under the National Action Plan to End Gender-Based Violence). In addition, there was lower uptake by recipients of contributions funding for former Bill C-78 (An Act to amend the Divorce Act, the Family Orders and Agreements Enforcement Assistance Act and the Garnishment, Attachment and Pension Diversion Act and to make consequential amendments to another Act) and provinces not accessing their maximum funding available."
"2022-2023",132,"Department of Justice","Justice System Support","BNY08","Indigenous Justice",50913401.00,50371800.75,51163401.00,34786298.00,20.00,19.00,20.00,20.00,"The variance in planned spending is mainly explained by the sunset of temporary funding received over a three-year period (2021-22 to 2023-24) to (1) improve access to justice for Indigenous people and address systemic barriers in the criminal justice system, and (2) improve access to justice through Indigenous engagement on justice-related issues and the Reconciliation Secretariat.",
"2022-2023",132,"Department of Justice","Justice System Support","BNY09","Justice System Partnerships",47977935.00,47180419.79,45973659.00,38373028.00,6.00,8.00,6.00,6.00,"The variance in planned spending is explained by the sunset of temporary funding received over a five-year period (2019-20 to 2023-24) to (1) support renewed legal relationships with Indigenous peoples by supporting Indigenous law initiatives across Canada (Truth and Reconciliation Commission Call to Action no. 50), and (2) provide legal support and awareness to address sexual harassment in the workplace.","The variance in planned versus actual FTEs is explained by an increase in one full-time equivalent needed to deliver new projects within the Justice Partnership and Innovation program, as well as one temporarily vacant position, which was excluded from planned spending and staffed afterwards."
"2022-2023",132,"Department of Justice","Justice System Support","BNY10","Ombudsman for Victims of Crime",1371032.00,1184775.48,1371032.00,1371032.00,11.00,10.00,11.00,11.00,,"The variance in planned versus actual spending is mainly explained by lower spending on operating and maintenance expenditures."
"2022-2023",132,"Department of Justice","Internal Services","ISS01","Management and Oversight Services",19372403.00,30188697.31,19187333.00,18841790.00,252.00,262.00,252.00,252.00,,"The variance in planned versus actual spending is explained by permanent Budget 2021 reductions included in planned spending (namely travel reductions and permanent reallocation of resources to Shared Services Canada for IT services). These reductions were temporarily allocated to this program in 2022-23 until more information became available and reductions were reallocated to the proper programs. The remainder of the variance is mainly explained by personnel expenditure increases due to the growth in the workforce with regards to various departmental and governmental priorities, such as the Anti-Racism and Anti-Discrimination Secretariat and internal services support to the Office of the Special Interlocutor."
"2022-2023",132,"Department of Justice","Internal Services","ISS02","Communications Services",7335291.00,8047201.34,7315672.00,7158670.00,66.00,60.00,66.00,66.00,,
"2022-2023",132,"Department of Justice","Internal Services","ISS03","Legal Services",0.00,,0.00,0.00,0.00,0.00,0.00,0.00,"All legal services resources and expenditures for the Department of Justice Canada are reported under its Legal Services Core Responsibility.","All legal services resources and expenditures for the Department of Justice Canada are reported under its Legal Services Core Responsibility."
"2022-2023",132,"Department of Justice","Internal Services","ISS04","Human Resources Management Services",12767074.00,15985136.13,12767074.00,12767074.00,214.00,229.00,214.00,214.00,,"The variance in planned versus actual spending is mainly explained by increases in personnel expenditures related to the growth in the workforce in response to an increase in staffing requests across the Department, to the new development program for law practitioners, and continued investments into the Stabilization and Modernization of the Pay System."
"2022-2023",132,"Department of Justice","Internal Services","ISS05","Financial Management Services",12005386.00,11669709.45,12005386.00,12005386.00,159.00,152.00,159.00,159.00,,
"2022-2023",132,"Department of Justice","Internal Services","ISS06","Information Management Services",9705812.00,10328264.99,9655959.00,9488117.00,118.00,119.00,118.00,118.00,,
"2022-2023",132,"Department of Justice","Internal Services","ISS07","Information Technology Services",11494375.00,27153101.52,11494375.00,11494375.00,205.00,206.00,205.00,205.00,,"The variance in planned versus actual spending is mainly explained by expenditure increases related to in-year funding of information technology projects and internal pressures, which are excluded from planned spending, such as: investments to enhance connectivity, improve software services to law practitioners, support Cloud services, support applications deployed to enable hybrid work, and increased purchasing of computer equipment."
"2022-2023",132,"Department of Justice","Internal Services","ISS08","Real Property Management Services",7141677.00,10991794.32,6993677.00,6993677.00,61.00,67.00,61.00,61.00,,"The variance in planned versus actual spending is explained by an increase in personnel expenditures for new employees needed to support higher demand for personnel security screening requests, and by the in-year funding of real property projects, which are excluded from planned spending, such as modernizing the electronic physical security equipment for the protection of the Department's personnel, assets and information.

The variance in planned versus actual FTEs is explained by an increase in demand for personnel security screening requests, which has led to additional hiring."
"2022-2023",132,"Department of Justice","Internal Services","ISS09","Materiel Management Services",0.00,,0.00,0.00,0.00,0.00,0.00,0.00,"Not applicable - Due to low materiality, the resources and expenditures for Material Management Services are now aligned and reported under Acquisition Management Services.","Not applicable - Due to low materiality, the resources and expenditures for Material Management Services are now aligned and reported under Acquisition Management Services."
"2022-2023",132,"Department of Justice","Internal Services","ISS0Z","Acquisition Management Services",1612042.00,1467339.80,1612042.00,1612042.00,19.00,21.00,19.00,19.00,,"The variance in planned versus actual FTEs is explained by an increase in operational requirements related to acquisition management, which has led to additional hiring."
"2022-2023",133,"Department of National Defence","Operations","BUN01","Operations in Canada",4847516.00,9413076.94,4819255.00,4857731.00,0.00,0.00,0.00,0.00,,
"2022-2023",133,"Department of National Defence","Operations","BUN02","Operations in North America",13805440.00,13675986.82,13477465.00,13591668.00,129.00,124.00,129.00,129.00,,
"2022-2023",133,"Department of National Defence","Operations","BUN03","International Operations",216640345.00,351192864.87,234335826.00,240471974.00,70.00,82.00,70.00,70.00,,
"2022-2023",133,"Department of National Defence","Operations","BUN04","Global Engagement",328915654.00,1376882013.07,326196821.00,326690191.00,609.00,847.00,609.00,611.00,,
"2022-2023",133,"Department of National Defence","Operations","BUN05","Cyber Operations",54251399.00,67615652.42,52939385.00,53044080.00,449.00,476.00,450.00,451.00,,
"2022-2023",133,"Department of National Defence","Operations","BUN06","Command, Control and Sustainment of Operations",150143743.00,153793115.84,146813761.00,147380184.00,887.00,1157.00,887.00,890.00,,
"2022-2023",133,"Department of National Defence","Operations","BUN07","Special Operations",26298447.00,47171169.39,28064677.00,28935696.00,0.00,0.00,0.00,0.00,,
"2022-2023",133,"Department of National Defence","Ready Forces","BUO01","Strategic Command and Control",135077096.00,235461287.41,140589521.00,144379944.00,309.00,392.00,308.00,310.00,,
"2022-2023",133,"Department of National Defence","Ready Forces","BUO02","Ready Naval Forces",1345510679.00,1484532095.02,1195001662.00,1204156908.00,9666.00,8331.00,9651.00,9654.00,,
"2022-2023",133,"Department of National Defence","Ready Forces","BUO03","Ready Land Forces",2411070282.00,2318151543.65,2339943402.00,2353302094.00,18264.00,16592.00,18299.00,18344.00,,
"2022-2023",133,"Department of National Defence","Ready Forces","BUO04","Ready Air and Space Forces",1706725551.00,1888041513.64,1708422502.00,1735060880.00,9679.00,10136.00,9691.00,9713.00,,
"2022-2023",133,"Department of National Defence","Ready Forces","BUO05","Ready Special Operations Forces",357115745.00,438162208.39,355907591.00,359807878.00,1962.00,2053.00,1965.00,1970.00,,
"2022-2023",133,"Department of National Defence","Ready Forces","BUO06","Ready Cyber and Joint Communication Information Systems (CIS) Forces",117148199.00,132438072.96,115812598.00,116499471.00,779.00,806.00,780.00,783.00,,
"2022-2023",133,"Department of National Defence","Ready Forces","BUO07","Ready Intelligence Forces",174842537.00,186090134.68,175887505.00,178089626.00,979.00,892.00,980.00,983.00,,
"2022-2023",133,"Department of National Defence","Ready Forces","BUO08","Ready Joint and Combined Forces",128351452.00,131819915.60,124800340.00,125115701.00,972.00,1009.00,975.00,977.00,,
"2022-2023",133,"Department of National Defence","Ready Forces","BUO09","Ready Health, Military Police and Support Forces",196196947.00,170126337.58,196811301.00,199523401.00,948.00,945.00,950.00,952.00,,
"2022-2023",133,"Department of National Defence","Ready Forces","BUO10","Equipment Support",3878325221.00,3809989239.85,4101336379.00,4218284604.00,2360.00,2619.00,2356.00,2364.00,,
"2022-2023",133,"Department of National Defence","Ready Forces","BUO11","The Employer Support Programmes",3627000.00,1547260.16,3609030.00,3632488.00,2.00,2.00,2.00,2.00,,
"2022-2023",133,"Department of National Defence","Defence Team","BUP01","Recruitment",133012617.00,167492982.84,131162463.00,132266442.00,547.00,617.00,548.00,549.00,,
"2022-2023",133,"Department of National Defence","Defence Team","BUP02","Individual Training and Professional Military Education",454304650.00,536554879.15,451370089.00,455689433.00,3496.00,4010.00,3490.00,3494.00,,
"2022-2023",133,"Department of National Defence","Defence Team","BUP03","Total Health Care",767705278.00,750429520.38,786876913.00,803704954.00,3451.00,3637.00,3448.00,3457.00,,
"2022-2023",133,"Department of National Defence","Defence Team","BUP04","Defence Team Management",1727853440.00,1810963855.82,1723100587.00,1736260314.00,9545.00,7666.00,9552.00,9574.00,,
"2022-2023",133,"Department of National Defence","Defence Team","BUP05","Military Transition",177807224.00,218762450.95,173338471.00,174143482.00,1458.00,2013.00,1455.00,1459.00,,
"2022-2023",133,"Department of National Defence","Defence Team","BUP06","Military Member and Family Support",200252459.00,163725141.38,214455023.00,222486356.00,40.00,46.00,40.00,40.00,,
"2022-2023",133,"Department of National Defence","Defence Team","BUP07","Military History and Heritage",16129456.00,6809453.39,16821096.00,17255453.00,31.00,34.00,31.00,31.00,,
"2022-2023",133,"Department of National Defence","Defence Team","BUP08","Military Law Services/Military Justice Superintendence",41195146.00,49493046.49,40168749.00,40350885.00,264.00,366.00,264.00,265.00,,
"2022-2023",133,"Department of National Defence","Defence Team","BUP09","Ombudsman",7430675.00,8685960.85,7396204.00,7395333.00,65.00,76.00,66.00,66.00,,
"2022-2023",133,"Department of National Defence","Defence Team","BUP10","Cadets and Junior Canadian Rangers (Youth Program)",213078262.00,201775158.60,208085259.00,208986502.00,230.00,263.00,229.00,231.00,,
